,obsid,fitsname,snrg,snrr,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_obs,dec_obs,gaia_source_id,gaia_g_mean_mag,figname,R_mean,R_mean_err,V_mean,V_mean_err,H_mean_tri,H_mean_tri_err,K_mean_tri,K_mean_tri_err,S_tri,S_tri_err,S_MWL,S_MWL_err,H_mean_rec,H_mean_rec_err,K_mean_rec,K_mean_rec_err,S_rec,S_rec_err,condition_tag
1112,1302085,spec-55863-B6302_sp02-085.fits,55.85,96.18,5568.99,33.73,4.434,0.048,0.033,0.029,-14.37,4.53,355.377503,27.253674,2.8651893862924657e+18,14.000784,CaIIHK_obsid-001302085_spec-55863-B6302_sp02-085.png,780.54663,6.376725,571.361544,7.170582,171.294986,16.854435,125.655033,17.049639,0.219653,0.017802,0.172383,0.013971,171.818395,21.51601,123.55971,21.76385,0.21849,0.022691, 
1113,1302089,spec-55863-B6302_sp02-089.fits,53.47,82.74,5816.9,33.33,4.224,0.048,-0.093,0.029,-57.97,4.49,355.433807,27.171644,2.865176020354248e+18,14.466188,CaIIHK_obsid-001302089_spec-55863-B6302_sp02-089.png,860.210542,6.722439,684.324248,7.626621,163.848888,17.361363,154.416675,19.35655,0.206059,0.016889,0.161715,0.013255,160.898561,22.157443,150.114762,24.648354,0.201364,0.021499, 
1114,1302090,spec-55863-B6302_sp02-090.fits,56.6,87.89,5890.02,30.65,4.181,0.044,-0.02,0.026,-17.48,4.11,355.348223,27.169319,2.865175470598432e+18,14.106093,CaIIHK_obsid-001302090_spec-55863-B6302_sp02-090.png,1048.296376,7.556147,821.935747,8.511109,234.696864,19.794237,201.516653,20.992118,0.23324,0.015493,0.183047,0.012159,234.180896,25.289812,200.26085,26.856427,0.232293,0.019775, 
1115,1302093,spec-55863-B6302_sp02-093.fits,51.76,86.77,5257.43,34.22,4.724,0.049,-0.245,0.03,-19.65,4.62,355.335737,27.348915,2.865190932480684e+18,14.431761,CaIIHK_obsid-001302093_spec-55863-B6302_sp02-093.png,658.420825,6.08666,454.064308,6.81385,149.483677,16.269002,130.571363,18.382031,0.251738,0.022162,0.197564,0.017393,149.44804,20.751815,129.232435,23.482754,0.250503,0.028244, 
1116,1302100,spec-55863-B6302_sp02-100.fits,63.9,103.11,5625.06,33.93,4.228,0.048,-0.365,0.029,53.61,4.53,355.465954,27.315981,2.865195536685724e+18,13.882072,CaIIHK_obsid-001302100_spec-55863-B6302_sp02-100.png,1072.246232,7.179762,832.49198,7.972407,225.078567,18.754157,177.915522,19.642872,0.211575,0.014308,0.166044,0.011229,222.632855,23.969462,174.536001,25.082685,0.208516,0.018252, 
1117,1302127,spec-55863-B6302_sp02-127.fits,60.74,90.24,6096.15,32.66,4.185,0.046,-0.223,0.028,-73.21,4.36,355.797879,27.266495,2.8650867881119206e+18,14.151042,CaIIHK_obsid-001302127_spec-55863-B6302_sp02-127.png,932.982304,6.215928,764.795224,7.008197,197.279615,16.83142,205.099202,19.590392,0.237003,0.015269,0.186,0.011983,195.119539,21.485128,206.680351,25.055343,0.236662,0.019484, 
1118,1302129,spec-55863-B6302_sp02-129.fits,84.9,136.53,5684.33,30.85,4.18,0.043,0.21,0.026,-2.54,4.21,355.837358,27.400017,2.865277072343703e+18,13.552148,CaIIHK_obsid-001302129_spec-55863-B6302_sp02-129.png,1284.263923,6.765098,970.578189,7.334029,254.254323,17.050334,240.103461,16.98612,0.219243,0.010718,0.172062,0.008411,249.743532,21.77931,237.048134,21.678402,0.215887,0.013662, 
1119,1302136,spec-55863-B6302_sp02-136.fits,87.67,130.95,6170.13,23.33,4.117,0.033,-0.741,0.019,38.69,3.2,355.95124,27.108414,2.86498717923137e+18,13.228597,CaIIHK_obsid-001302136_spec-55863-B6302_sp02-136.png,2211.608147,9.298122,1944.244472,10.491507,746.542694,23.912453,713.520401,25.630284,0.351327,0.008517,0.275721,0.006685,740.50135,30.492578,707.062178,32.793883,0.348319,0.010839, 
1120,1302143,spec-55863-B6302_sp02-143.fits,64.2,94.4,6205.59,31.91,4.181,0.045,-0.215,0.027,-37.93,4.26,355.913857,27.218344,2.8650826305835827e+18,14.092419,CaIIHK_obsid-001302143_spec-55863-B6302_sp02-143.png,1012.627371,6.423158,824.816629,7.251052,205.084809,17.537124,192.269805,17.258334,0.216254,0.013439,0.169716,0.010547,204.027858,22.425454,186.637963,21.974394,0.212614,0.017124, 
1121,1302169,spec-55863-B6302_sp02-169.fits,51.06,74.58,5734.86,35.89,4.015,0.051,-0.595,0.031,-52.06,4.85,355.174538,27.611708,2.8652534328447314e+18,14.681784,CaIIHK_obsid-001302169_spec-55863-B6302_sp02-169.png,772.60079,6.491345,658.364029,7.94418,153.987083,17.410515,151.727132,18.805645,0.213642,0.017975,0.167666,0.014107,149.876747,22.224375,151.540637,24.029755,0.210639,0.022924, 
