,indice_i,indice_j,sln_1,sln_2
1475,23,95,,
1476,23,96,,
1477,23,99,,
1478,23,102,,
1479,23,110,,
1480,23,112,,
1481,23,114,,
1482,23,118,,
1483,23,124,,
1484,23,125,,
1485,23,126,,
1486,23,127,,
1487,23,131,,
1488,23,132,,
1489,23,134,,
1490,23,135,,
1491,23,136,,
1492,23,137,,
1493,23,138,,
1494,23,142,,
1495,23,152,,
1496,23,154,,
1497,23,155,,
1498,23,162,,
1499,23,163,,
1500,23,164,,
1501,23,165,,
1502,23,166,,
1503,23,168,,
1504,23,190,,
1505,23,191,,
1506,23,193,,
1507,23,194,,
1508,23,197,,
1509,23,198,,
1510,23,203,,
1511,24,0,,
1512,24,1,,
1513,24,12,,
1514,24,15,,
1515,24,16,,
1516,24,17,,
1517,24,18,,
1518,24,25,,
1519,24,29,,
1520,24,38,,
1521,24,39,,
1522,24,40,,
1523,24,42,,
1524,24,43,,
1525,24,44,,
1526,24,45,,
1527,24,46,,
1528,24,47,,
1529,24,48,,
1530,24,49,,
1531,24,54,,
1532,24,55,,
1533,24,56,,
1534,24,57,,
1535,24,58,,
1536,24,62,,
1537,24,63,,
1538,24,64,,
1539,24,65,,
1540,24,66,,
1541,24,77,,
1542,24,90,,
1543,24,95,,
1544,24,96,,
1545,24,97,,
1546,24,98,,
1547,24,111,,
1548,24,114,,
1549,24,123,,
1550,24,132,,
1551,24,133,,
1552,24,134,,
1553,24,135,,
1554,24,136,,
1555,24,145,,
1556,24,146,,
1557,24,147,,
1558,24,152,,
1559,24,159,,
1560,24,161,,
1561,24,163,,
1562,24,168,,
1563,24,171,,
1564,24,187,,
1565,24,191,,
1566,24,192,,
1567,24,193,,
1568,24,195,,
1569,25,0,,
1570,25,15,,
1571,25,16,,
1572,25,17,,
1573,25,18,,
1574,25,24,,
1575,25,25,,
1576,25,26,,
1577,25,37,,
1578,25,43,,
1579,25,44,,
1580,25,45,,
1581,25,46,,
1582,25,47,,
1583,25,48,,
1584,25,49,,
1585,25,50,,
1586,25,51,,
1587,25,54,,
1588,25,55,,
1589,25,56,,
1590,25,57,,
1591,25,62,,
1592,25,63,,
1593,25,64,,
1594,25,65,,
1595,25,66,,
1596,25,67,,
1597,25,81,,
1598,25,82,,
1599,25,84,,
1600,25,89,,
1601,25,111,,
1602,25,113,,
1603,25,129,,
1604,25,130,,
1605,25,133,,
1606,25,134,,
1607,25,135,,
1608,25,136,,
1609,25,137,,
1610,25,148,,
1611,25,150,,
1612,25,151,,
1613,25,152,,
1614,25,159,,
1615,25,175,,
1616,25,187,,
1617,25,191,,
1618,25,192,,
1619,25,194,,
1620,26,0,,
1621,26,12,,
1622,26,15,,
1623,26,16,,
1624,26,20,,
1625,26,21,,
1626,26,31,,
1627,26,32,,
1628,26,33,,
1629,26,34,,
1630,26,35,,
1631,26,36,,
1632,26,44,,
1633,26,45,,
1634,26,49,,
1635,26,50,,
1636,26,51,,
1637,26,52,,
1638,26,53,,
1639,26,54,,
1640,26,62,,
1641,26,63,,
1642,26,64,,
1643,26,65,,
1644,26,66,,
1645,26,67,,
1646,26,78,,
1647,26,79,,
1648,26,80,,
1649,26,81,,
1650,26,82,,
1651,26,83,,
1652,26,86,,
1653,26,88,,
